symptom,home_care,medicine_note,when_to_see_doctor
fever,Rest well and drink plenty of fluids,Paracetamol (acetaminophen) is commonly used for fever relief,If fever lasts more than 3 days or exceeds 102°F
headache,Rest in a quiet dark room,Pain relievers like paracetamol may help,"If headache is severe, sudden, or persistent"
cough,Drink warm fluids and avoid cold air,Cough syrups may provide temporary relief,If cough lasts more than 2 weeks
sore throat,Gargle with warm salt water,Throat lozenges may ease irritation,If swallowing becomes difficult
body pain,Take adequate rest and apply warm compress,Mild pain relievers such as paracetamol may help,If pain does not improve
nausea,Eat light foods and avoid spicy meals,Anti-nausea medicines may help when advised,If vomiting persists
vomiting,Take small sips of water or ORS,Anti-vomiting medicines may be used,If vomiting is frequent
diarrhea,Drink oral rehydration fluids,Anti-diarrheal medicines may help,If diarrhea lasts more than 2 days
chest pain,Avoid exertion and rest,Do not self-medicate,Seek immediate medical attention
shortness of breath,Sit upright and stay calm,Do not take medicine without advice,Seek immediate medical attention
fatigue,Ensure adequate rest and nutrition,Vitamin supplements may help if deficient,If fatigue persists for weeks
dizziness,Sit or lie down immediately,Medicines may be prescribed by doctor,If dizziness is frequent
abdominal pain,Avoid heavy meals and rest,Antacids may help mild pain,If pain is severe or persistent
constipation,Increase fiber and water intake,Laxatives may help occasionally,If constipation lasts more than a week
back pain,Avoid heavy lifting and maintain posture,Pain relievers may help,If pain radiates to legs
joint pain,Apply warm compress and rest joint,Anti-inflammatory medicines may help,If swelling or stiffness worsens
skin rash,Keep area clean and dry,Antihistamines may help itching,If rash spreads or blisters
itching,Avoid scratching and allergens,Antihistamines may help,If itching is severe
runny nose,Rest and stay hydrated,Decongestants may help,If symptoms persist
loss of appetite,Eat small frequent meals,Nutritional supplements may help,If appetite loss continues
insomnia,Maintain regular sleep routine,Sleep aids only with medical advice,If sleep problems persist
anxiety,Practice deep breathing and relaxation,Medicines may be prescribed by doctor,If anxiety interferes with daily life
palpitations,Rest and avoid caffeine,Do not self-medicate,If palpitations are frequent
ear pain,Avoid water entry into ear,Pain relievers may help,If pain or discharge occurs
eye redness,Avoid touching eyes,Lubricating drops may help,If vision is affected
swelling,Elevate affected area and rest,Anti-inflammatory medicines may help,If swelling is sudden
burning urination,Drink plenty of water,Medicines may be prescribed,If pain or fever occurs
frequent urination,Limit caffeine and fluids before bed,Medicines may help when prescribed,If accompanied by pain
weight loss,Ensure balanced nutrition,Supplements may help,If weight loss is unexplained
